symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return1M
ENGINERSIN,Construction & Engineering,Industrials,264.19,15124.56,33.97,7.71,4.32,99999,26.93,1.11,18.56,131.75,59.44,1.09
ASTRAZEN,Pharmaceuticals,Health Care,6379.45,15061.88,93.26,25.59,11.18,258.4,61.82,0.4,18.05,74.75,37,11.14
TBOTEK,Tour & Travel Services,Consumer Discretionary,1582.3,15061.67,99999,44.67,99999,63.44,99999,0,50.69,12.52,12.52,10.45
TTML,Telecom Services,Communication Services,77.56,15023.62,99999,99999,12.44,25.63,64.4,0,-99999,3.34,-18.06,0.82
KIMS,Hospitals & Diagnostic Centres,Health Care,2093.15,15009.61,48.4,7.75,5.98,34.74,24.22,0,20.09,23.1,5.82,7.13
HFCL,Telecom Equipments,Communication Services,127.03,14871.69,45.09,4.73,3.26,62.91,22.71,0.19,10.1,85.45,56.73,22.05
INGERRAND,Industrial Machinery,Industrials,4633.05,14819.44,66.64,25.64,11.94,100.09,45.77,1.49,32.32,59.75,44.8,-5.18
RAYMOND,Apparel & Accessories,Consumer Discretionary,2438.9,14817.34,9.05,2.93,1.44,27.79,7.06,0.45,40.74,40.87,39.84,11.39
ASAHIINDIA,Auto Parts,Consumer Discretionary,669.5,14686.28,44.78,7.15,3.36,36.57,21.11,0.33,19.22,37.04,19.05,10.39
OLECTRA,Electrical Components & Equipments,Industrials,1776,14646.08,190.63,17.41,12.48,99999,78.78,0.02,8.11,84.43,39.4,4.83
AADHARHFC,Consumer Finance,Financials,402.75,14582.67,99999,3.94,99999,99999,99999,0,15.92,22.25,22.25,18.58
CLEAN,Specialty Chemicals,Materials,1394.1,14577.24,59.74,14.43,17.5,52.18,38.14,0.36,33.2,0.68,-7.98,2.08
ZEEL,TV Channels & Broadcasters,Communication Services,154.34,14566.28,102.99,1.36,1.66,112.92,19.94,0.66,0.44,-16.69,-43.19,15.35
CHENNPETRO,Oil & Gas - Refining & Marketing,Energy,974.1,14506.95,5.28,2.08,0.22,2.52,4.04,5.65,67.51,148.27,37.54,11.23
CENTURYPLY,Wood Products,Materials,722.4,14504.56,44.44,7.59,3.69,33.13,25.76,0,22.13,16.48,-12.1,6.55
GESHIP,Oil & Gas - Storage & Transportation,Energy,1191.85,14458.03,5.53,1.41,2.44,4.86,3.47,3.58,28.1,59.23,21.34,16.24
SONATSOFTW,IT Services & Consulting,Information Technology,563.55,14378.61,46.61,11.05,1.65,53.57,20.69,2.2,37.66,10.98,-25.57,4.93
PNCINFRA,Construction & Engineering,Industrials,465.6,14348.24,15.78,3.35,1.64,99999,9.4,0.11,16.64,40.35,33.28,4.07
J&KBANK,Private Banks,Financials,121.37,14331.89,8.1,1.45,1.19,99999,2.28,1.55,13.14,113.87,-4.77,-6.45
HBLPOWER,Batteries,Industrials,506.85,14256.14,50.76,14.98,6.33,116.43,34.35,0.1,10.86,232.14,15.11,-4.48
ZENSARTECH,IT Services & Consulting,Information Technology,711.4,14136.54,21.26,4.75,2.79,19.79,12.84,1.44,11.57,79.62,18.12,14.05
IEX,Power Trading & Consultancy,Utilities,181.25,14027.56,39.99,17.55,24.97,99999,27.15,0.63,40.72,40.78,17.54,15.59
JPPOWER,Renewable Energy,Utilities,18.96,14015.32,13.71,1.34,1.96,18.26,8.58,0,0.53,203.36,34.47,-3.68
HONASA,FMCG - Personal Products,Consumer Staples,426.65,13961.95,124.91,23.04,7.09,99999,73.48,0,-21.78,26.56,1.41,6.53
RHIM,Cement,Materials,660.6,13933.68,99999,4.68,3.67,58.48,66.13,0.34,-23.25,-2.21,-13.02,4.25
BIKAJI,FMCG - Foods,Consumer Staples,724.5,13928.76,52.42,14.63,5.91,79.07,33.44,0.18,14.5,74.49,33.07,34.93
WELSPUNLIV,Textiles,Consumer Discretionary,144.44,13805.27,20.27,3.29,1.41,18.26,10.27,0.07,4.81,60.69,-7.05,2.63
RAILTEL,Communication & Networking,Information Technology,426.8,13750.61,55.85,8.34,5.24,59.91,27.43,0,11.91,231.62,35.58,5.35
FINEORG,Specialty Chemicals,Materials,4721.7,13494.99,32.76,8.76,6.15,27.81,21.57,0.23,49.44,-3.72,1.29,6.79
FSL,Outsourced services,Information Technology,198.55,13441.96,26.12,3.99,2.11,16.91,14.72,1.81,16.05,52.79,6.12,1.85
WESTLIFE,Restaurants & Cafes,Consumer Discretionary,816.85,13427.43,193.98,23.73,5.57,38.53,37.65,0,21.71,-5.4,-1.19,-3.29
BLS,Outsourced services,Information Technology,367.9,13171,42.09,15.73,7.67,50.55,33.03,0.31,28.54,88.62,19.12,13.14
PVRINOX,Theatres,Communication Services,1390.45,13140.69,99999,1.79,2.1,15.21,10.59,0,-7.7,-2.28,-23.25,6.27
ALOKINDS,Textiles,Consumer Discretionary,29.52,13083.41,99999,99999,2.36,16.09,520.74,0,-99999,73.65,28.63,3.32
GMDCLTD,Mining - Diversified,Materials,397.1,13022.1,21.1,2.25,4.76,13.98,14.37,2.09,22.9,147.18,-3.84,-6.45
ANANTRAJ,Real Estate,Real Estate,441.9,13007.23,49.85,4.55,8.55,99999,37.91,0.18,5.46,161.17,45.75,14.25
KIRLOSBROS,Industrial Machinery,Industrials,2126,13003.61,37.35,9.24,3.2,39.5,21.91,0.37,18.16,246.93,128.17,19.6
SPLPETRO,Specialty Chemicals,Materials,760,12985.19,37.48,6.43,2.42,23.31,22.33,1.59,17.94,83.86,36.05,5.07
CUBEINVIT,Roads,Industrials,100,12906.89,37.11,0.92,6.8,6.9,19.58,0,4.98,-99999,-99999,-99999
ELECON,Heavy Electrical Equipments,Industrials,1302.6,12856.99,36.16,8.02,6.47,35.24,23.73,0.26,24.67,121.38,43.77,12.11
AAVAS,Home Financing,Financials,1935.75,12814.7,26.12,3.92,6.34,99999,32.38,0,14.14,41.12,26.6,20.66
AIIL,Diversified Financials,Financials,1009.95,12807.17,2.99,3.75,2.87,52.34,3.28,0,131.67,189.01,25.57,21.86
VTL,Textiles,Consumer Discretionary,480.35,12761.28,20.21,1.47,1.29,6.89,9.7,0.89,9.64,37.76,18.71,7.77
KFINTECH,Business Support Services,Industrials,692.25,12761.13,51.87,14.66,14.8,57.13,32.44,0.76,23.91,92.32,41.8,-5.88
MGL,Gas Distribution,Utilities,1446.05,12752.71,9.99,3.08,1.97,13.16,5.61,2.32,20.44,40.25,21.54,12.09
TECHNOE,Construction & Engineering,Industrials,1432.45,12670.53,47.2,6.56,7.73,135.72,32.72,0,9.92,292.94,87.52,33.74
RKFORGE,Rail,Industrials,844.3,12664.42,37.09,9.58,3.18,16.99,16.07,0.25,20.68,95.44,12.02,10.68
INDGN,Business Support Services,Industrials,569.9,12657.33,99999,11.9,99999,97.2,99999,0,29.12,-0.18,-0.18,5.25
RAINBOW,Hospitals & Diagnostic Centres,Health Care,1297.9,12637.47,58.24,11.87,9.47,38.62,28.13,0.24,25.23,35.18,11.35,-3.31
GPIL,Iron & Steel,Materials,1110.75,12595.3,13.45,3.19,2.26,13.09,8.31,0,21.48,127.71,57.31,18.62
AMBER,Home Electronics & Appliances,Consumer Discretionary,3998.9,12555.8,94.48,6.43,1.85,39.17,24.42,0,8.44,89.76,24.67,1.71
NEWGEN,Software Services,Information Technology,928.5,12393.53,49.26,12.69,9.59,90.9,35.96,0.45,19.72,186.86,30.27,-4.34
INTELLECT,Software Services,Information Technology,1057.85,12269.05,38.2,5.01,4.78,29.91,20.31,0.39,14.21,71.74,32.55,16.36
SCI,Logistics,Industrials,274.32,12227.22,18.01,1.77,2.29,8.34,8.37,0.19,13.52,163.64,62.27,22.28
VOLTAMP,Heavy Electrical Equipments,Industrials,11654.9,12105.94,39.39,10.93,7.1,72.07,29.22,0.75,19.51,186.92,80.84,1.68
HAPPSTMNDS,IT Services & Consulting,Information Technology,887.65,12085.76,48.66,8.16,7,56.86,25.87,0.71,21.42,-3.14,-4.11,8.44
TANLA,Software Services,Information Technology,944.3,12063.74,22,7.95,3.04,48.9,14.76,0.67,31.18,-8.25,-13.04,6.84
NETWEB,IT Services & Consulting,Information Technology,2660.55,11998.6,158.11,128.09,16.3,442.26,105.07,0.08,68.01,192.24,121.45,15.05
ERIS,Pharmaceuticals,Health Care,1042.8,11941.57,30.46,5.38,5.87,40.93,18.26,0,18.51,53.95,17.69,18.02
UTIAMC,Asset Management,Financials,1028.85,11790.54,15.4,3.05,6.76,29.82,11.11,5.06,11.66,51.98,18.14,13.31
PTCIL,Iron & Steel,Materials,13755.25,11747.58,278.25,38.31,43.47,251.02,138.25,0,10.86,241.12,130.2,85.71
AKZOINDIA,Specialty Chemicals,Materials,2773.9,11714.33,27.46,8.9,2.93,24.09,16.8,2.92,26.02,13.39,6.39,7.64
PGINVIT,Power Transmission & Distribution,Utilities,95.93,11516.95,12.43,1.41,8.84,9.36,8.34,2.37,11.23,-16.66,1.06,-2.03
LEMONTREE,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,144.9,11512.54,77.54,8.15,10.68,29.91,26.85,0,8.15,53.17,18.97,-2.09
