date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2023-06-01,PRESTIGE,Real Estate - Diversified,Real Estate,487.55,19545,20.76,1.96,2.35,12.7,10.03,0.31,9.44,9.13,-3.99,22.62,0.68
2023-06-01,NIACL,Insurance - Diversified,Financial Services,119.5,19694,18.79,0.76,0.48,-3.31,5.3,0,4.1,15.29,8.39,14.35,8.05
2023-06-01,RADICO,Beverages - Wineries & Distilleries,Consumer Defensive,1173.1,15682,71.18,7.1,4.99,65.71,42.51,0.26,9.98,47.58,3.43,-1.79,6.78
2023-06-01,PFIZER,Drug Manufacturers - General,Healthcare,3810.25,17432,27.94,5.43,7.19,49.01,18.59,1.71,19.45,-11.14,-16.96,0.73,1.24
2023-06-01,NH,Medical Care Facilities,Healthcare,910.6,18610,30.51,8.73,4.11,17.16,18.76,0.11,28.44,41.78,20.2,17.18,20.63
2023-06-01,EMAMILTD,Household & Personal Products,Consumer Defensive,387.35,17088,26.71,7.42,5.02,22.82,21.78,2.07,27.77,-7.55,-15.7,-0.33,1.81
2023-06-01,LAURUSLABS,Drug Manufacturers - Specialty & Generic,Healthcare,340.5,18342,23.26,4.54,3.04,18.45,12.76,0.59,19.57,-39.22,-19.62,9.17,9.27
2023-06-01,FIVESTAR,Credit Services,Financial Services,544.3,15860,26.56,3.65,10.49,-14.12,22.83,0,13.91,-9999999999,5.08,-0.98,4.76
2023-06-01,AJANTPHARM,Drug Manufacturers - Specialty & Generic,Healthcare,1313.75,16643,28.63,4.91,4.45,21.01,18.54,0.54,17.35,10.98,4.87,11.82,1.59
2023-06-01,INDIAMART,Internet Content & Information,Communication Services,2800.52,17128,60.46,8.32,17.38,35.99,41.69,0.04,13.79,22.58,25.39,13.95,-0.48
2023-06-01,360ONE,Asset Management,Financial Services,419.9,14953,23.17,4.79,9.08,-11.31,16.29,4.1,21.07,6.37,-6.58,-6.02,0.38
2023-06-01,KEI,Electrical Equipment & Parts,Industrials,2058,18562,38.93,7.17,2.69,36.12,24.86,0.15,18.44,58.64,27.32,22.16,9.26
2023-06-01,JBCHEPHARM,Drug Manufacturers - Specialty & Generic,Healthcare,1058.38,16379,40.44,6.6,5.2,26.18,23.92,0.78,16.52,33.28,5.8,8.53,1.77
2023-06-01,LALPATHLAB,Diagnostics & Research,Healthcare,2005.35,16633,69.78,9.98,8.25,36.47,31.71,0.62,14.34,-6.05,-19.08,2.38,2.51
2023-06-01,JSL,Steel,Basic Materials,292.5,24086,11.39,2.02,0.67,7.78,7.16,0,17.72,158.62,65.3,4.63,2.63
2023-06-01,IRB,Infrastructure Operations,Industrials,29.1,17574,24.45,1.31,2.75,9.96,9.94,0.43,5.38,29.85,6.01,-0.85,1.93
2023-06-01,EXIDEIND,Auto Parts,Consumer Cyclical,211.4,17969,21.84,1.61,1.19,23.39,10.75,0,7.39,43.66,10.91,17.05,9.73
2023-06-01,PVR,,,,,,,,,,,,,,,
2023-06-01,GSPL,Utilities - Regulated Gas,Utilities,304.3,17169,10.46,1.82,0.95,5.14,5.35,1.03,17.37,20.02,15.4,9.72,7.09
2023-06-01,BLUEDART,Integrated Freight & Logistics,Industrials,6206.5,14727,39.74,12.48,2.85,20.55,16.25,0.56,31.41,-19.05,-18.83,-2.01,3.78
2023-06-01,NATIONALUM,Aluminum,Basic Materials,82.75,15199,10.6,1.16,1.07,16.73,5.92,6.04,10.93,-10.4,6.09,0.3,-0.42
2023-06-01,RVNL,Engineering & Construction,Industrials,118.45,24698,17.39,3.37,1.22,-6.08,12.93,1.76,18.32,254.64,57.62,80.02,0.13
2023-06-01,CREDITACC,Credit Services,Financial Services,1250.15,19866,24.12,3.89,5.94,-6.04,29.63,0,16.18,16.6,31.9,29.33,28.14
2023-06-01,TRIDENT,Textile Manufacturing,Consumer Cyclical,32.2,16204,36.59,3.86,2.56,11.36,18.05,1.11,10.51,-31.78,-14.25,6.27,-0.77
2023-06-01,POWERINDIA,Electronic Components,Technology,3901.3,16535,176.05,13.61,3.81,3079.02,66.54,0.08,7.73,11.14,32.87,16.81,13.12
2023-06-01,MEDANTA,Medical Care Facilities,Healthcare,587.15,15748,46.71,6.49,5.81,24.43,23.78,0,13.43,-9999999999,28.35,16.31,14.34
