date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,debtToEquity,returnOnCapitalEmployed,priceToEarningsGrowth,return12M,return6M,return3M,return1M
2024-06-28,CARYSIL,"Furnishings, Fixtures & Appliances",Consumer Cyclical,841.1,2256,38.96,6.37,3.3,39,19.15,0.24,16.35,0.88,19.66,3.68,19.67,2.31,-14.34,6.56
2024-06-28,THEJO,Specialty Industrial Machinery,Industrials,3241.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.23,0.17,25.68,NaN,95.85,75.65,32.55,20.97
2024-06-28,MPSLTD,Publishing,Communication Services,1961.4,3356,28.04,7.3,6.15,28.42,17.86,2.56,25.83,0.01,28.38,2.94,81.56,15.49,27.92,18.26
2024-06-28,MARATHON,Real Estate - Development,Real Estate,575.7,2946,17.71,2.96,4.18,133.29,12.05,0.16,16.72,0.76,13.67,0.61,80.22,38.02,12.33,40.23
2024-06-28,ISMTLTD,Steel,Basic Materials,131.22,3944,22.71,2.41,1.51,24.5,11.21,0.37,10.63,0.1,16.82,0.23,72.32,43.18,51.26,9.95
2024-06-28,FILATEX,Textile Manufacturing,Consumer Cyclical,57.76,2564,23.2,2.13,0.6,15.27,11.08,0.26,9.19,0.19,10.46,1,46.79,17.52,-1.35,6.96
2024-06-28,NRBBEARING,Auto Parts,Consumer Cyclical,349.35,3386,14.14,3.94,3.09,29.11,9.24,1,27.84,0.21,14.04,0.09,84.99,4.02,30.33,10.68
2024-06-28,JCHAC,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1974.4,5369,-70.91,9.21,2.8,21.1,-296.77,0,-12.99,0.08,-9.53,9.09,89.12,76.89,106.94,12.2
2024-06-28,MOLDTKPAC,Packaging & Containers,Consumer Cyclical,801.8,2665,39.95,4.48,3.81,33.8,20.61,0.75,11.2,0.21,13.99,-2.26,-20.6,-12.62,2.45,2.72
2024-06-28,DREAMFOLKS,Airports & Air Services,Industrials,477.6,2533,37.87,10.71,2.23,115.52,25.69,0.1,29.19,0.03,36.77,-7.11,-20.47,-11.64,-2.2,-0.78
2024-06-28,GMRP&UI,Thermal Coal,Energy,83.89,5064,-49.06,-1.74,1.13,3,10.78,0,3.53,-4.76,9.92,0.45,366.06,49.4,95.78,29.66
2024-06-28,SHALBY,Medical Care Facilities,Healthcare,266.8,2860,34.02,2.86,3.06,145.94,16.29,0.45,8.4,0.38,9.72,1.36,54.98,-11.83,11.59,-1.29
2024-06-28,INNOVACAP,Drug Manufacturers - Specialty & Generic,Healthcare,508.55,2911,27.25,3.5,2.69,19.89,18.83,0,11.35,0.29,13.11,0.48,-9999999999,-6.07,13.12,3.81
2024-06-28,PFS,Credit Services,Financial Services,44.51,2859,17.78,1.13,3.76,1.12,29.46,2.25,6.33,1.55,3.07,-2.05,123.11,5.98,11.27,14.13
2024-06-28,AJMERA,Real Estate - Development,Real Estate,673.8,2391,23.25,2.76,3.42,10.88,15.01,0.45,11.88,0.93,11.06,0.53,77.15,53.15,-6.78,1.79
2024-06-28,HMAAGRO,Packaged Foods,Consumer Defensive,54.23,2716,27,3.79,0.56,-16.38,17.04,0.55,14.03,0.69,12.73,-1.46,-9999999999,-35.44,6.23,-1.4
2024-06-28,NILKAMAL,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1949.65,2910,23.8,2.06,0.91,11.63,10.34,1.03,8.67,0.29,9.9,-2.72,-20.45,-12.89,14.3,5.69
2024-06-28,RPGLIFE,Drug Manufacturers - Specialty & Generic,Healthcare,1642.25,2717,30.98,7.25,4.67,28.78,19.92,0.73,23.39,0,29.09,1.05,83.51,22.94,7.45,14.06
2024-06-28,TATVA,Specialty Chemicals,Basic Materials,1104.9,2585,85.15,3.51,6.57,26.36,33.86,0.18,4.12,0.02,5.76,-2.32,-38.65,-31.02,2.44,2.88
2024-06-28,STYRENIX,Chemicals,Basic Materials,2150.95,3783,21.84,5.23,1.7,17.49,13.77,4.36,23.96,0.04,29.02,-4.06,97.15,48.99,50.31,21.64
2024-06-28,QUICKHEAL,Software - Application,Technology,495.95,2655,109.49,6.07,9.1,145.91,67.2,0.5,5.55,0,1.13,0.37,208.52,37.23,5.63,13.72
2024-06-28,ACCELYA,Information Technology Services,Technology,1729.6,,,,,,,,,,,,29.67,22.18,2.94,6.29
2024-06-28,REPCOHOME,Mortgage Finance,Financial Services,549.15,3436,8.25,1.15,4.94,-5.02,9.66,0.49,13.94,3.58,3.8,0.26,77.63,39.95,37.05,13.39
2024-06-28,PCJEWELLER,Luxury Goods,Consumer Cyclical,51.06,2377,-3.78,0.81,3.93,37.21,-61.05,0,-21.47,1.42,-6.44,-0.02,94.14,9.34,-5.09,7.38
2024-06-28,APOLLOPIPE,Building Products & Equipment,Industrials,631.55,2601,60.74,4.53,2.64,20.86,26.16,0.09,7.46,0.11,9.62,0.86,-11.01,-7.81,-0.68,-4.23
2024-06-28,GANECOS,Textile Manufacturing,Consumer Cyclical,1400.65,3545,77.17,3.37,3.16,81.52,25.58,0.12,3.86,0.38,6.07,-1.79,25.48,42.86,42.2,19.7
2024-06-28,PARAGMILK,Packaged Foods,Consumer Defensive,175.19,2089,23.45,2.29,0.67,21.07,12.24,0,9.93,0.71,11.51,0.46,24.96,-24.6,-15.73,2.6
2024-06-28,BAJEL,Utilities - Regulated Electric,Utilities,297.28,3428,799.52,6.05,3.01,17.54,121.12,0,0.76,0.03,0.77,-2.16,-9999999999,123.86,38.14,16.9
2024-06-28,PSPPROJECT,Engineering & Construction,Industrials,685.7,2469,20.07,2.7,0.99,-11.02,9.87,0.36,13.44,0.5,20.44,-2.95,-3.98,-10.54,-0.32,7.22
2024-06-28,GIPCL,Utilities - Regulated Electric,Utilities,236.17,3573,18,1.08,2.65,6.36,7.82,1.59,6.01,0.19,4.64,3.51,137.36,35.57,44.85,31.35
2024-06-28,XPROINDIA,Specialty Chemicals,Basic Materials,995.2,2193,45.71,3.91,4.71,49.86,29.23,0.19,7.83,0.07,9.16,-4.31,20.2,-4.1,-10.93,-0.7
2024-06-28,PITTIENG,Metal Fabrication,Industrials,994.35,3187,35.33,7.66,2.65,43.31,16.5,0.12,21.67,1.48,16.22,0.66,168.34,40.92,29.95,11.56
2024-06-28,SHAKTIPUMP,Specialty Industrial Machinery,Industrials,3664.7,7343,47.65,9.72,5.36,135.02,31.68,0.05,18.75,0.11,26.88,0.1,519.35,258.06,174.8,52.4
2024-06-28,TIDEWATER,Specialty Chemicals,Basic Materials,2291.25,3894,27.24,4.71,2.02,25.04,18.89,2.1,17.27,0,17.4,1.1,127.18,62.02,63.95,27.05
2024-06-28,SHAILY,Specialty Chemicals,Basic Materials,801.7,3678,64.19,8.01,5.71,39.85,31.3,0,12.48,0.46,14.69,1.02,165.7,138.49,51.28,27.01
2024-06-28,EVEREADY,Electrical Equipment & Parts,Industrials,348.45,2533,37.96,6.55,1.93,16.46,19.77,0,17.26,0.79,19.71,0.27,1.21,0.66,4.26,4.83
2024-06-28,CONFIPET,Oil & Gas Refining & Marketing,Energy,81.5,2588,24.7,2.19,0.96,9.84,8.31,0.12,8.58,0.54,11.85,1.38,3.89,-9.04,-3.03,-3.83
2024-06-28,POLYPLEX,Specialty Chemicals,Basic Materials,1002.75,3148,83.22,0.9,0.5,6.91,9.11,0.8,1.08,0.21,2.18,-0.93,-23.67,-4.62,30.96,20.31
2024-06-28,TAJGVK,Lodging,Consumer Cyclical,338.5,2123,22.9,3.87,5.2,17.15,14.36,0.3,16.92,0.2,16.92,-67.93,44.07,47.98,-11.58,-1.68
2024-06-28,TIRUMALCHM,Specialty Chemicals,Basic Materials,300.35,3076,-79.25,2.68,1.48,12.97,55.73,0.5,-3.38,1.09,-0.53,0.55,55.5,36.8,28.38,18.36
2024-06-28,SPECTRUM,,,,,,,,,,,,,,,,,,
2024-06-28,PARAS,Aerospace & Defense,Industrials,1408.7,5494,171.37,12.36,21.67,-120.59,90.65,0,7.21,0.15,8.04,-15.39,128.28,95.95,130.25,48.97
2024-06-28,EXICOM,Electrical Equipment & Parts,Industrials,454,5486,67.76,7.6,5.38,192.93,41.49,0,8.86,0.06,12.44,0.07,-9999999999,-9999999999,130.05,68.46
2024-06-28,PGIL,Apparel Manufacturing,Consumer Cyclical,740.2,3227,18.45,4.02,0.94,9.16,10.1,1.51,21.8,0.73,22.1,1.11,151.51,13.98,35.28,17.06
2024-06-28,MANORAMA,Packaged Foods,Consumer Defensive,633.75,3778,94.31,11.21,8.26,-24.61,47.57,0.06,11.9,1.03,15.22,2.72,-57.71,-66.6,59.09,2.19
2024-06-28,SOMANYCERA,Building Products & Equipment,Industrials,832.4,3414,36.22,4.74,1.32,8.68,14.39,0.37,13.45,0.52,15.83,0.99,19.02,16.06,44.18,15.8
